"person_id","name"
"2","Mark Richard Hamill"
"7","Andrew Christopher Stanton Jr."
"24","Robert Zemeckis"
"31","Thomas Jeffrey Hanks"
"32","Robin Virginia Gayle Wright"
"32","Robin Penn"
"32","Robin Wright Penn"
"39","Samuel Alexander Mendes"
"40","George Orson Welles"
"42","Lars Holbæk Trier"
"47","Björk Guðmundsdóttir"
"48","Shaun Mark Bean"
"63","Militza Jovovich"
"63","Militza Natasha Jovovich"
"64","Gary Leonard Oldman"
"64","Garry Oldman"
"68","Friedrich Christian Anton Lang"
"78","Fritz Heinrich Rasp"
"78","Fritz Heinrich Rasp"
"85","John Christopher Depp"
"93","Esther García"
"93","Esther García Rodríguez"
"100","Robert Scott Speedman"
"112","Catherine Élise Blanchett"
"113","Christopher Frank Carandini Lee"
"114","Orlando Jonathan Blanchard Bloom"
"116","Keira Christina Knightley"
"117","Howard Shore"
"131","Jack Gyllenhaal"
"134","Eric Marlon Bishop"
"138","Quentin Jerome Tarantino"
"139","Uma Karuna Thurman"
"139","Uma Thurmann"
"140","Lucy Alexis Liu"
"140","劉玉玲"
"140","Liú Yùlíng"
"150","Robert Fitzgerald Diggs"
"155","Lucas Beck"
"190","Clinton Eastwood, Jr."
"198","Daniel Louis Castellaneta"
"199","Julie Deborah Kavner"
"200","Nancy Campbell Cartwright"
"204","Kate Elizabeth Winslet"
"205","Kirsten Caroline Dunst"
"206","James Eugene Carrey"
"206","Jim Carrey"
"223"," Alejandro G. Iñárritu "
"230","Stephen McHattie Smith"
"241","Arthur Charles Clarke"
"252","Sean Gregory Sullivan"
"260","Marco Perez"
"282","Charles Roven"
"287","William Bradley Pitt"
"290","Arthur Christopher Orme Plummer"
"290","Christopher Plummer"
"309","Pedro Almodóvar Caballero"
"325","Marshall Bruce Mathers"
"333","Dean Bukowski"
"335","Michael Corbett Shannon"
"336","Alvin \"Xzibit\" Joiner"
"336","Alvin Joiner"
"336","Alvin 'Xzibit' Joiner"
"348","William Goldmann"
"367","Leaf Phoenix"
"367","Joaquin Rafael Phoenix"
"368","Laura Jeanne Reese Witherspoon"
"380","Robert Mario De Niro Jr."
"380","Robert DeNiro"
"383","Michael Edward Palin"
"383","Michael Palin"
"386","Peter Vaughn"
"389","Allison Eastwood"
"405","Alberto Iglesias Fernández-Berridi"
"413","José Salcedo"
"417","Jennifer Goodwin"
"426","Larry Bagby III"
"426","Lawrence Bagby"
"432","Phedon Papamichael"
"448","Hilary Ann Swank"
"452","Margo Martindale (doppelt)"
"453","Erika Joan Lindhome"
"453","Riki Lindholm"
"453","Riki Lindholme"
"454","Michael Anthony Peña"
"455","Paul Edward Haggis"
"455","Paul E. Haggis"
"455","Paul Haggies"
"460","Thomas Evans Stern"
"461","Deborah Hopper"
"463","Jon Finn"
"477","Julia Mary Walters"
"484","Wes Archer"
"491","Johnny Williams"
"492","Janusz Zygmunt Kamiński"
"500","Thomas Cruise Mapother IV"
"501","Hannah Dakota Fanning"
"510","Timothy William Burton"
"511","Larry Franco"
"518","Daniel Michael DeVito, Jr."
"518","Danny DeVito"
"524","Natalie Hershlag"
"524","נטלי הרשלג"
"524","נטלי פורטמן"
"526","Lucas D. Haas"
"526","Lukas D. Haas"
"528","Sylvia Sydney"
"534","Mark Boone Jr."
"537","Stephen Harold Tobolowsky"
"537","Stephen Tobolowski"
"539","Thomas Lennon"
"545","Matt Barry"
"569","Ethan Green Hawke"
"575","Erni Mangold"
"575","Erna Mangold"
"585","Rutger Oelsen Hauer"
"588","Michael Emmet Walsh"
"595","Evangelos Odysseas Papathanassiou"
"607","Yimou Zhang"
"608","Miyazaki Hayao"
"608","宮崎 駿"
"641","Colin James Farrel"
"641","Colin Farrell"
"643","鞏俐"
"643","巩俐"
"643","Li Gong"
"677","Moritz J. Bleibtreu"
"690","Ke Huy Quan"
"691","Amrīś Purī"
"695","Roy Chiao Hong"
"700","Carl F. Koschnick"
"700","Carl-F Koschnick"
"700"," Charly F. Koschnick "
"700"," Carl F. Koschnik "
"700","Charlie F. Koschnik "
"702","Phillip Tan"
"702","Philip Tann"
"702","Phil Tan"
"707","Daniel Edward Aykroyd"
"707","Dan Aykroyd"
"714","Ulrike Kriener"
"721","Peter Frank"
"723","Patrick Wayne Swayze"
"741","River Jude Bottom"
"761","Kais Nashif"
"766","Ashraf Barhoum"
"770","Jerome Bruckheimer"
"770","Jerry Bruckheimer"
"770","Jerry Buckheimer"
"771","Donald Clarence Simpson"
"776","Edward Regan Murphy"
"795","James J. Murakami"
"798","Thomas Bronson"
"819","Edward James Norton Jr."
"819","Edward Harrison"
"821","Beverly D’Angelo"
"825","Stacey Keach"
"832","Antonio Lyons"
"834","Dr. Otto Ludwig Preminger"
"844","Erndell Mayes"
"852","Jerry Greenberg"
"854","James Maitland  Stewart"
"856","Biagio Anthony Gazzara"
"857","Arthur O`Connell"
"865","Michael Benjamin Bay"
"867","Sunday in August"
"879","William Robert Thornton"
"880","Benjamin Geza Affleck"
"882","Liv Rundgren Tyler"
"887","Owen Cunningham Wilson"
"908","Michael Tronick"
"909","William Weber "
"922","Allen Goorwitz "
"934","Russell Ira Crowe"
"935","Connie Inge-Lise Nielsen"
"938","Djimon Gaston Hounsou"
"942","Ralf Möller"
"952","Agustin Almodovar"
"952","Agustín Almodóvar Caballero"
"953","Cecilia Rotemberg"
"955","Penélope Cruz Sánchez"
"955","Penelope Cruz"
"965","Fernando Fernández Gómez"
"980","Vincent Peter Jones"
"989","P. H. Moriarty"
"1003","Juan Moreno y Jederique Jiménez"
"1015","Sisse Graum Jørgensen"
"1015","Sisse Graum Jorgensen"
"1019","Mads Dittmann Mikkelsen"
"1032","Martin Luciano Scorsese"
"1032","Martin Marcantonio Luciano Scorsese"
"1038","Alicia Christian Foster"
"1039","Peter Boyles"
"1044","Michael Chapmann"
"1067","Marc A. McClure"
"1067","Mark McClure"
"1087","Lars Rudolf"
"1100","Arnold Alois Schwarzenegger"
"1102","Elpedia Carrillo"
"1107","R. G. Armstrong"
"1118","Rade Sherbedgia"
"1121","Benicio Del Torrio"
"1126","Krzysztof Kieslowski"
"1128","A. Holland"
"1128","Agnieska Holland"
"1128","Annieszka Holland"
"1129","Slawomir Idziak"
"1143","Edward Kłosinski"
"1143","Edward Klosinski"
"1158","Alfredo James Pacino"
"1160","Michelle Pfeifer"
"1164","Fahrid Murray Abraham"
"1175","Morton Soborg"
"1184","Anders Wodskou Berthelsen"
"1188"," Ki-duk Kim "
"1203"," J. F. Lawton"
"1204","Julia Fiona Roberts"
"1204","Julia Roberts"
"1205","Richard Tiffany Gere"
"1210","Hector Elizonda"
"1215","Raja Raymond Gosnell"
"1222","Albert Brenner	 "
"1227","John Lyons"
"1231","Julie Anne Smith"
"1240","Jack Keeler"
"1243","Allen Stewart Königsberg"
"1244","John Michael Francis O'Keeffe"
"1248","Brian Denis Cox"
"1259","Dan Savio"
"1259","Leo Nichols"
"1259","Ennio Morricone"
"1260","William Elliott"
"1269","Kevin Michael Costner"
"1271","Andrés Arturo García Menéndez"
"1280","Donald Patrick Harvey"
"1285","Annasophia Robb"
"1285","Anna Sophia Robb"
"1294","Andrea Kay Pyle"
"1315","John Gilbert"
"1327","Ian Murray McKellen"
"1331","Hugo Weaving"
"1331","Hugo Wallace Weaving"
"1333","Andrew Clement G. Serkis"
"1336","Li Lianjie"
"1337","Tony Leung Chiu-Wai"
"1337","Tony Leung"
"1337","梁朝偉"
"1337","Liáng Cháowěi"
"1337","Tony Leung Chiu Wai"
"1338","Maggie Cheung Man-yuk"
"1338","張曼玉"
"1339","Zhang Ziyi"
"1340","Chen Daoming"
"1341","Donnie Yen Chi Dan"
"1341","Donnie Yen Chi-Dan"
"1341","Yen Chi Dan"
"1341","Yen Chi-Dan"
"1341","Donnie Yen Chi Tan"
"1341","Donnie Yen Chi-Tan"
"1341","Yen Chi Tan"
"1341","Yen Chi-Tan"
"1341","Donnie Yen Ji Dan"
"1341","Donnie Yen Ji-Dan"
"1341","Yen Ji-Dan"
"1341","Yen Ji Dan"
"1341","Zhen Zidan"
"1369","Bernard Hill"
"1372","Karl-Heinz Urban"
"1387","Artur Barcis"
"1428","Mick Jagger"
"1430","Keith Richards"
"1486","D.A. Pennebaker"
"1486","D. A. Pennebaker"
"1509","Rosco Ates"
"1511","Kurt Fritz Schneider"
"1511","Harry Doll Earles"
"1516","Schlitze"
"1516","Schlitzie"
"1516","Shlitze the Pinhead"
"1516","Shlitze Surtees"
"1516","Simon Metz"
"1516","The Last of the Aztecs"
"1516","Last of the Incas"
"1516","The Monkey Girl"
"1516","The Missing Link"
"1518","Frances O'Connor"
"1518","Frances O’Connor"
"1524","Harold Remis"
"1532","William James Murray"
"1533","Rosalie Anderson MacDowell"
"1547","Béla Ferenc Dezső Blaskó"
"1547","Arisztid Olt"
"1557","Carl Laemmle junior"
"1564","Sophie Grabol"
"1571","Valdis Oskarsdóttir"
"1577","James Richard Kelly"
"1580","Deveigh Chase"
"1590","Steven B. Poster"
"1590","Steve Poster"
"1594","Michelle Morris-Gertz"
"1600","Drew Blyth Barrymore"
"1602","Rafael Martínez"
"1605","Francisco Maestre Soriano"
"1605","Juan Francisco Maestre"
"1605","Paco Maestre"
"1606","Francisco Javier Zaballos Boira"
"1606","Fran Boira"
"1611","Alberto Ferreiro Gómez"
"1614","李安"
"1614","Lǐ Ān"
"1619","Chow Yun Fat"
"1619","周潤發"
"1619","Yun-Fat Chow"
"1619","Chow Yun-Fat"
"1619","Chow Yun Fatt"
"1619","chow yun fatt"
"1620","Yeoh Chu-Kheng"
"1622","Chang Chen"
"1623","Lung Sihung "
"1624","Cheng Pei-pei"
"1640","Stellan Skarsgård"
"1666","Julie Frances Christie"
"1695","Tsutomu Ōhashi"
"1711","Mackenzie Crook"
"1726","Steven E. DeSouza"
"1726","Steven E. De Souza"
"1733","Nicholas King Nolte"
"1734","Annette O`Toole"
"1750","DeForest Kelley"
"1753","Grace Nichols"
"1755","Majel Barrett-Roddenberry"
"1762","Richard Kline"
"1767","Todd C. Ramsay"
"1772","Anna Kay Faris"
"1810","Heathcliff Andrew Ledger"
"1810","Heath Andrew Ledger"
"1811","Randall Rudy Quaid"
"1812","Michelle Ingrid Williams"
"1813","Anne Jacqueline Hathaway"
"1813","Anne Whitney Hathaway"
"1844","Tilman Valentin Schweiger"
"1845","Thomas Zickler"
"1846","André M. Hennicke"
"1857","Conny Froboess  "
"1861","Markus Knüfken"
"1862","Wilhelm Thomczyk"
"1884","Peter Andrews"
"1884","Mary Ann Bernard"
"1891","Stephen Mirrione"
"1892","Matthew Paige Damon"
"1893","Caleb Casey Affleck-Boldt"
"1897","Bernard Jeffery McCullough"
"1900","Qin Shaobo"
"1913","Susan J. Blommaert"
"1920","Winona Laura Horowitz"
"1927","William Blake McEdwards"
"1927","Blake Edwards	 "
"1932","Edda Kathleen van Heemstra Hepburn-Ruston"
"1932","Audrey Kathleen van Heemstra Ruston"
"1937","Mickey Rooney"
"1942","José Luis de Villalonga"
"1949","Elvia Allmann"
"1955","Darlene K. Vogel"
"1957","Sophie Maupu"
"1957","Sophie Danièle Sylvie Maupu"
"1979","Kevin Spacey Fowler"
"1979","Kevin Matthew Fowler"
"1999","Ed Shearmur"
"1999","Ed Shearmur"
"2000","Lev Milstein"
"2016","George Joseph Somerville"
"2016","George J. Summerville"
"2016","George 'Slim' Summerville"
"2016","George S. Summerville"
