"image_id","object_id","object_type","image_version"
"1","10","Movie","2"
"2","11","Movie",\N
"3","1","Character",\N
"4",\N,\N,\N
"5","2","Character",\N
"6","3","Person","3"
"7","2","Person","3"
"8","3","Character",\N
"9","4","Person","3"
"10","12","Movie",\N
"11","13","Movie","2"
"13","39","Person","2"
"14","40","Person","2"
"15","15","Movie","2"
"16","14","Movie",\N
"18","16","Movie",\N
"19","18","Movie",\N
"20","62","Person","3"
"21","19","Movie",\N
"22","17","Movie","2"
"23","68","Person","2"
"24","75","Person","3"
"25","1","Person","2"
"27","21","Movie",\N
"28","20","Movie",\N
"30","25","Movie",\N
"31","24","Movie","2"
"32","164","Person","2"
"34","166","Person","2"
"35","160","Person","2"
"36","26","Movie",\N
"37","27","Movie","6"
"38","28","Movie",\N
"39","29","Movie",\N
"40","19","Company",\N
"41","30","Movie",\N
"42","32","Movie",\N
"44","33","Movie",\N
"45","190","Person","5"
"46","192","Person","3"
"47","193","Person","2"
"48","194","Person","3"
"49","47","Person","2"
"50","131","Person","4"
"54","34","Movie","5"
"55","36","Movie","3"
"56","198","Person","2"
"57","37","Movie",\N
"58","199","Person","2"
"59","35","Movie","2"
"60","38","Movie",\N
"61","55","Movie",\N
"62","59","Movie",\N
"63","60","Movie",\N
"64","61","Movie",\N
"65","62","Movie",\N
"66","13","Character",\N
"67","287","Person","4"
"68","63","Movie",\N
"69","289","Person","2"
"70","29","Company",\N
"71","65","Movie",\N
"72","67","Movie",\N
"73","68","Movie",\N
"74","368","Person","2"
"75","309","Person","2"
"76","367","Person","2"
"77","280","Person","2"
"78","64","Movie",\N
"79","66","Movie",\N
"80","69","Movie","2"
"81","228","Person","2"
"82","349","Person","3"
"83","70","Movie",\N
"84","448","Person","2"
"86","449","Person","2"
"87","72","Movie",\N
"88","71","Movie",\N
"90","74","Movie","2"
"91","246","Person","3"
"92","240","Person","2"
"93","500","Person","2"
"94","502","Person","2"
"95","501","Person","3"
"96","504","Person","2"
"97","75","Movie",\N
"98","77","Movie",\N
"99","514","Person","3"
"100","515","Person","2"
"101","516","Person","2"
"102","517","Person","5"
"103","529","Person","2"
"104","76","Movie",\N
"105","607","Person","2"
"106","81","Movie","2"
"107","78","Movie",\N
"108","608","Person","3"
"109","80","Movie",\N
"110","84","Movie","2"
"111","85","Movie",\N
"112","87","Movie",\N
"113","86","Movie",\N
"114","689","Person","2"
"115","691","Person","2"
"116","89","Movie",\N
"117","88","Movie",\N
"118","202","Person","2"
"119","90","Movie",\N
"120","206","Person","3"
"121","793","Person","2"
"122","776","Person","2"
"123","204","Person","2"
"124","73","Movie",\N
"125","92","Movie",\N
"126","93","Movie",\N
"129","95","Movie",\N
"131","96","Movie",\N
"132","9","Movie",\N
"136","97","Movie",\N
"137","770","Person","2"
"138","98","Movie","2"
"139","100","Movie",\N
"140","101","Movie",\N
"141","99","Movie",\N
"142","955","Person","4"
"143","14","Character",\N
"144","973","Person","2"
"145","974","Person","2"
"146","976","Person","4"
"147","738","Person","3"
"148","780","Person","2"
"149","777","Person","2"
"150","103","Movie",\N
"151","102","Movie",\N
"152","1032","Person","3"
"153","1037","Person","2"
"154","105","Movie",\N
"155","1036","Person","4"
"156","521","Person","3"
"157","1062","Person","2"
"158","106","Movie",\N
"159","104","Movie","2"
"160","1038","Person","3"
"162","107","Movie",\N
"163","980","Person","2"
"164","956","Person","2"
"165","1126","Person","2"
"166","1137","Person","2"
"167","108","Movie","2"
