"movie_id","abstract"
"25","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action.  Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use."
"73","With it’s explicit depiction of violence American History X is a controversial drama about a convicted Neo-Nazi, and his struggle with his friends, family, and with the identity he has created for himself. The film touches on nationalism and racism in the US."
"103","Taxi Driver, starring Robert De Niro, is an oppressive psychodrama about a Vietnam Veteran who rebels against the immorality of big city life in New York. A Martin Scorseses film and one of the greatest and most disputed works of American cinema."
"79","The impressive and epic martial arts film has ascetics written all over it. From dancing through the air to over saturated colors and grandiose fight scenes this film is not just for the martials art fan."
"242","The last film from the Godfather trilogy ends the story of the mafia boss Michael Corleone sixteen years after the first two Godfathers. Critics and the public alike say it did not live up to the level or success as the firsts did although it was nominated for seven Oscars."
"240","Following the extraordinary success of the first Godfather film comes the second part of Coppolla's legendary trilogy.  This second installment tells the story of Michael Corleone, new boss of the New York mafia family."
"249","Danny DeVito’s message on the theme of divorce goes from a romantic Hollywood comedy to a dark raven comedy thriller.  "
"273","The White Sound is a film about a young schizophrenic man dealing with a new town, a new relationship, and the paranoia in his head. A convincingly real and award-winning performance by Daniel Bruhl."
"3",""
"397","French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband."
"408","With the help of her friends, Bon Jovi and Princess Amidala, Snow White finds a way to defeat the evil queen who doesn't like her because she's more attractive.  Chuck Liddell shines as the dastardly Sean Maxwell.  And there are dwarfs."
"958","The first season of the successful American television series that in September of 1994 began with the pilot episode “The One where Monica gets a Roommate.” "
"960","Ross finds out from his lesbian ex-wife that she’s pregnant with his kid. Ross wants to raise the kid together with her. Meanwhile Rachel has to give back her engagement ring which is harder than she thought when she can’t find her ex. Monica is meanwhile at a family reunion receiving criticism from her mother as usual."
"137","A comedy about an egosentric and sinester television weather reporter with a bad case of Deja-Vu. The weather reporter, Bill Murray, is sent to the famous Groundhog Day tradition in the small town of Punxsutawney were he unwillingly has to report on a little more than he expected. Let's just say he had to do a few retakes of the report."
"1242","The first Helloween episode of the Simpsons with three frightening stories."
"1243","Season 2 Episode 12. The Simpson's TV goes out so Homer and Marge tell their children the story of how they first met. The story is revolved around their high school prom and how homer blows his chances of going with Marge. Homer also sings \"The Joker\" by The Steve Miller Band."
"68","Brazil is a Terry Gilliam dystopic black comedy film that reflects the melancholy, dreamlike quality of a famous Brazilian song that’s been translated into English. The film parodies the mostly dysfunctional bureaucratic world we live in and takes us to a post-apocalyptic world in the future yet with our present day attitudes in mind."
"69","Walk the Line depicts the story of singer songwriter Johnny Cash from his childhood up until his success as a musician. Joaquin Phoenix who played Johnny Cash and Reese Whiterspoon who played Cash’s wife June Carter recorded all the songs for the movie themselves."
"70","Million Dollar Baby is the story of a determined young female boxer played by Hillary Swank who desperately wants to be trained by a professional boxing coach, Frankie Dunn played by Clint Eastwood. Dunn is hesitant to train her though."
"71","Director Stephen Daldry delivers a social drama, comedy. A coal mining father from the north English town is in an economic crisis with his job while his son faces a search for his true identity as a ballet dancer with or without his fathers approval."
"72","Homer’s Odyssey is the third episode of the first season of The Simpsons. In this episode Homer is fired at the nuclear plant and becomes an activist for safety in Springfield. "
"74","Human kind is trying to avoid extinction in Steven Spielberg’s film adapted from H.G. Wells world famous novel of the same name."
"75","“We come in peace” is not what those green men from Mars mean when they invade our planet. This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the 50’s and 60’s."
"76","A dialogue marathon of a film, this fairy tail love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.  "
"77","This is the twisting and scattered story of a man with a condition that makes him unable to make new memories. The last memory he has is the murder of his wife and every second of his life is dedicated to finding the killer and getting revenge. Yet with no short-term memory his task is very difficult."
"78","From the atmospheric vision of Ridley Scott comes this futuristic film noir declared by many as the greatest Science Fiction movie of all times. Based on the novel “Do Androids Dream of Electric Sheep” by Philip K. Dick. "
"80","The sequel to Before Sunrise. In this film the American man and a French woman cross paths again in Paris during his book signing and the book he was signing happened to be about the story of the first time they met 9 years before."
"82","Miami Vice is an feature film based on the 1980’s action/drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed."
"83","Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them..."
"84","The Adventure films series from the Director George Lucas and starring Harrison Ford as the archeologist Henry Indiana Jones."
"85","The adventure-seeking whip-slinging archaeologist goes on a mission to find the lost Ark Of The Covenant before the Nazis get their hands on it. A Steven Spielberg film and part of a series of three extremely popular films."
"86","The Elementary Particles / Elementarteilichen, is a film based off of the controversial novel by Michel Houellebecq about two very different half brothers; one who finds pleasure in his sexual cravings and the other who’s more interested in molecular biology than women."
"87","The second and darker instalment of the Indiana Jones film series. In this film “Indy,” played by Harrison, Ford enters into the Temple of Doom in search for the some lost and mystically powerful stones. He is accompanied by two friends; a small boy and a beautiful blond woman who naturally hates him."
"88","Dirty Dancing tells a 1980’s romantic love story of a girl who secretly falls in love with a dance instructor named Johnny, played by Patrick Swayze, while on a summer vacation with her family. Produced on a small budget this film by Emile Ardolino became one of the most successful films of the 80’s.                  Classic Line 'Nobody puts baby in a corner'. "
"89","The last crusade is the third film in the Indiana Jones film series. This time Sean Connery plays as Indy's father on his adventure to find the Holy Grail."
"90","Beverly Hills Cops gave Eddie Murphy his biggest breakthrough as to being one of the biggest superstars of the 1980’s. Quoted by some to be one of the funniest movies off all time. This action/comedy cop movie tells the story of Detroit cop Axel Foley."
"91","Las Hurdes – Tierra Sin Pan / Land Without Bread / Unpromised Land is a surrealist documentary filmed in Spain in 1932. It is the result of a two month trip through the Las Hurdes region. The film shows the contrasts between the village and the towns in the north of Extremadura, Salamanca and along the boarder of Portugal."
"92","Megacities is a documentary about the slums of five different metropolitan cities."
"93","Anatomy of a Murder from director Otto Preminger is one of the most important films to have changed the industries guidelines of production. With very frank dialogue, first class cast rolls, and one of the first to have a jazz filled musical score, this classic film has past the test of time."
"94","Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film."
"95","The Armageddon is coming in the form of meteorites smashing into the earth. A Classic 90’s catastrophe film, if you can call it that, starring Bruce Willis. If you like disastermovies with heroes and adventure you will absolutly love this film!!!!"
"96","The second Beverly Hills Cop film starring Eddie Murphy back as the police officer Axel Foley. Once again the Detroit cop is sent to Beverly Hills; this time Axel along with Friends John Taggart and Billy Rosewood try to track down the man behind the “Alphabet Robberies.”"
"97","While Kevin Flynn is searching his work’s computer system for classified information relating to video games he is digitalized by a laser finding himself in the middle of the computer world. Tron is the first feature film to have long computer generated scenes and thus seen as a milestone in film storytelling history."
"98","Gladiator is an epic historical film of love, death and betrayal. The story is about the Commander Maximus whose success and will to live are destroyed by the evil successor to the Roman Empire. Maximus becomes a slave and must fight as a Gladiator before he can win his freedom and get revenge on the Emperor."
"99","All About My Mother / Todo Sobre Mi Madre – Pedro Almodóvar tells the story of a woman searching for the father of her son as she is confronted with her past. This homage to the mother enticed two million Spaniards into the theaters."
"100","Lock, Sotck & Two Smoking Barrels is a fast paced British comedy about four friends who need to make a lot of cash quick after loosing a sketchy poker match. Lots of British humor, off the wall characters, and a line up of unbelievable scenes put director Guy Ritchie on the map."
"101","Leon/The Professional is a story of a lonely hit-man who saves a little girl, played by Natalie Portman in her first starring role, and thus having to give her a place to stay. It’s an intense and fragile story of their relationship and how they take care of one another."
"102","Joachim and Cecilie are just engaged when Joachim is hit by Marie's car. It soon turns out that he is a paraplegic. Niels, a doctor and Marie's husband, takes care of Cecilie. A strong film about the power of coincidences, love, and the unpredictability of fate."
"104","\"Lola rennt\" is a fast-paced film about love and how every decision in every second can change one’s life drastically. The film brought director Tom Tykwer world wide fame and gave German 90’s films a strong boost."
"105","The first film of the trilogy  as teenager Marty Mcfly travels back in time with help from his friend and time machine inventor Dr. Brown. Marty travels from 1985 back to 1955 running into people he knows like his parents. When it’s time to go back to the future Marty runs into a few unforeseen problems and time is running out."
"106","Predator is a big mix of science fiction, horror, action, war films and of course the muscle packed Arnold Schwarzenegger as the leader of a group of solders on a mission in to rescue a Guatemalan cabinet member from guerilla forces. Set in the jungle the group is attacked my a mysterious predator."
"107","The is second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast paced crazy character colliding filled film “Lock, Stock & Two Smoking Barrels.” The film has two overlapping stories– one is the search for a stolen diamond and the other about a boxing promoter who’s having trouble with a psychotic gangster."
"108","Blue This is the first film in a trilogy of films who’s colors make up the three colors of France. With the colors meaning – freedom, equality and brotherliness. “Blue” relating to the French ideals of freedom that are somewhat vague. A film by Krzysztof Kieślowski."
"109","White is the second film from the trilogy by Kieślowski. “White” meaning equality. Here Kieślowski shows his talent at making comedies. It’s about the relationship between Karol, a polish hair dresser, and the beautiful Dominique, who he’s dependant on."
"110","Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work."
"111","A remake of a classic gangster film of the same name from Howard Hanks in 1932. Scarface tells the rise and fall of the gangster and drug dealer Tony Montana who came to Miami as a refugee from Cuba in the 1980’s. A cult film and one of the most celebrated films of all time."
"112","A romantic comedy told by ordinary people about happiness and unhappiness in love. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal."
"113","This South Korean film depicts the life of the ever overwhelming course of nature in the changing seasons."
"114","A modern day fairy tale of a big city prostitute who becomes a princess after a rich man falls in love with her. The film made Julia Roberts a superstar in the 1990’s."
"115",""
"116","Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins."
"117","The fight of a Treasury Department agent Elliot Ness against the Chicago underworld and against the boss of all bosses Al Capone. Politicians are mafia patrons and money is going to the wrong hands in this classic gangster film."
"118","The wonderful story of a boy who wins a ticket to meet Willy Wonka take a tour of his magical chocolate factory. This is a remake of the 1964 film of the same name starring Johnny Depp and Directed by Tim Burton."
"119","Director Peter Jackson’s film trilogy based on the famous J.R.R Tolkien novels. "
"120","The Fellowship of the Ring is the first part of the spectacular Oscar winning fantasy film trilogy from Peter Jackson, based on the popular novels by J.R.R. Tolkien. The Fellowship Of The Ring tells the story of Frodo Baggins, a Hobbit who battles against the Dark Lord Sauron to save his world, Middle-earth, from the grip of evil."
"121","The Two Towers is the second of the trilogy of The Lord of the Rings films by Peter Jackson based on the popular novels by J.R.R. Tolkien. In their parallel journeys, the Fellowship will stand against the powerful forces spreading from the Two Towers: Saruman's Orthanc Tower in Isengard and Sauron’s fortress at Barad-dûr, deep within the dark lands of Mordor."
"122","The Return of the King is the third and final film in the Lord of the Ring's trilogy, based on the popular novels by J.R.R. Tolkien. The final battle for Middle-earth begins as Frodo and Sam, led by Gollum, continue their dangerous mission toward the fires of Mount Doom in order to destroy the One Ring."
"123","is an animated fantasy film from 1978 based on the first half of J.R.R Tolkien’s Lord of the Rings novel. The film was mainly filmed using rotoscoping, meaning it was filmed in live action sequences with real actors and then each frame was individually animated."
"129","Spirited Away is an Oscar winning Japanese animated film about a ten year old girl who wonders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?"
"131","Trois Couleurs is a film trilogy who’s colors make up the films and the three colors of France – Blue, White and Red. With the colors meaning – freedom, equality and brotherliness. A film by Krzysztof Kieślowski."
