"movie_id","referenced_id","type"
"254","244","Remake"
"1004","510",\N
"118","252","Remake"
"1006","645","Parody"
"747","923","Homage"
"924","923","Remake"
"468","986",\N
"791","790","Remake"
"818","274",\N
"818","658",\N
"1053","919","SpinOff"
"957","10","Parody"
"1058","269","Remake"
"11","1059","Influence"
"876","841","Remake"
"913","912","Remake"
"1163","1162","Remake"
"799","798","Remake"
"142","1363","Influence"
"736","222","Remake"
"1393","1114","Influence"
"795","144","Remake"
"1417","1433",\N
"1417","411","Influence"
"1440","14","Influence"
"1450","919","Remake"
"806","794","Remake"
"1272","62","Influence"
"1496","221",\N
"1496","221","Remake"
"1488","1114","Influence"
"1488","1393","Influence"
"1567","1568",\N
"955","1601","Influence"
"1164","55","Influence"
"1164","470","Influence"
"111","877","Remake"
"1675","422","Influence"
"258","776","Influence"
"1837","569","Influence"
"1884","10","SpinOff"
"1961","1960","SpinOff"
"1965","521","Remake"
"601","10",\N
"194","1628",\N
"1903","1902","Remake"
"114","2025","Influence"
"2080","2081","SpinOff"
"2082","948","Remake"
"2135","2134","Remake"
"738","660","Remake"
"2101","601","Influence"
"1272","2102","Influence"
"2103","593","Remake"
"2124","426","Influence"
"588","17","Influence"
"225","224","Remake"
"292","2261","Influence"
"1992","1991",\N
"2290","2200","Remake"
"2342","2341","Remake"
"1018","599",\N
"24","2487","Influence"
"63","662","Influence"
"496","2578","SpinOff"
"1858","1857","Remake"
"565","2671","Remake"
"2614","2161","Influence"
"2665","813",\N
"107","100","Influence"
"161","299","Remake"
"2815","2824","Remake"
"2925","2926",\N
"2968","2967","Remake"
"2969","2967","Remake"
"2969","2968","Remake"
"2970","2967","Remake"
"2970","2968","Remake"
"2970","2969","Remake"
"2971","2967","Remake"
"2982","2981","Remake"
"2983","2982","Influence"
"2983","2981","Remake"
"3048","1781","Influence"
"3048","1781",\N
"2996","2981","Remake"
"2997","2981","Remake"
"3049","3050",\N
"3171","3170",\N
"3171","1678",\N
"3059","618","Influence"
"3093","402","Influence"
"3307","34","Influence"
"3361","2292","Influence"
"3536","387","Influence"
"3471","3473","Remake"
"3473","3470","Remake"
"3473","3471","Remake"
"2517","2516","Influence"
"3544","3524","Influence"
"3562","3557","Influence"
"3575","3574",\N
"1361","123","Influence"
"3638","3640","Remake"
"3683","1251",\N
"3632","3617","SpinOff"
"3686","3685",\N
"3687","3632",\N
"3688","3617",\N
"35","62",\N
"1534","2172","Remake"
"3866","3847","SpinOff"
"3989","676",\N
"3989","62","Influence"
"4044","258",\N
"4044","255",\N
"4044","259",\N
"4044","2370",\N
"4044","2373",\N
"4044","2381",\N
"8","92",\N
"4033","2455",\N
"4114","4113","Remake"
"4155","4156",\N
"4201","4153",\N
"4201","4199",\N
"4226","745","Parody"
"4226","3597","Parody"
"4226","2602","Parody"
"4226","2667","Parody"
"4226","948","Parody"
"4226","4247","Parody"
"4247","4232","Parody"
"4247","603","Parody"
"4247","745","Parody"
"4247","948","Parody"
"4247","3597","Parody"
"4248","2655","Parody"
"4248","4327","Parody"
"4248","597","Parody"
"4256","2675","Parody"
"4256","65","Parody"
"4256","1933","Parody"
"4256","565","Parody"
"4256","2676","Parody"
"4256","310","Parody"
"4259","4247",\N
"1991","1992",\N
"4398","457","Parody"
"4367","261","Remake"
"4457","764","Influence"
"4337","571","Remake"
"4362","4364",\N
"4365","3980","Influence"
"4365","927","Influence"
"4520","993","Remake"
"4437","62",\N
"2389","4528","Influence"
"4528","2389",\N
"4539","28",\N
"4592","880","Influence"
"4481","4480",\N
"4706","940","Remake"
"808","4327",\N
"808","3005",\N
"4953","403",\N
"4953","620",\N
"4858","4722",\N
"5036","3545",\N
"618","5153","Influence"
"19","5153","Influence"
"772","771",\N
"5262","489","Parody"
"5124","597",\N
"5355","4939","Parody"
"4816","5511",\N
"5516","5506","Remake"
"5694","5696","SpinOff"
"5694","5695",\N
"5694","5697",\N
"5694","5696",\N
"5804","571","Homage"
"5804","213","Homage"
"5804","574","Homage"
"1893","665","Homage"
"4588","843","Influence"
"5940","770","Influence"
"5940","1712","Influence"
